7.44	0.13	6	Dccc	Gggg	D7ccc	6	6	2	2	1.54	3.47	7.56	1	1	0	0	0	0	0	0.25	1.92	0.25	1.92	0												
7.50	0.12	7	Ecvc	Gggg	Ecvc	6	6	2	2	2.48	4.32	7.62	0	1	0	0	0	0	1	0.125	1	0.25	1.87	0.25	1.87	0										
7.52	0.43	5	Fcvv	Gggg	Fcvv	6	6	2	2	2.86	9.32	7.95	0	0	0	0	0	0	0.43	0.25	4.52	0.25	6.51	0												
7.57	0.30	2	Evvv	Fcvv	EvvvFcvv	6	6	2	2	3.61	8.13	7.88	0	0	-9.94	1	0	0.25	3.29	0.25	4.53	0	0.25	0	0.5	0.125										
7.72	0.18	1	Dccc	Gggg	D3ccc	6	6	2	2	5.74	8.38	7.89	0	0	0	0	0	0	0.25	0.125	0.38	0.25	2.64	0.25	1.06	0										
7.77	0.40	4	Eccv	Bcvc	EccvBcvc	6	7	2	1	6.49	2.5	8.17	0	0	-172	0	0	0.25	6.03	0.25	4.05	0	2.67	0												
7.81	0.67	2	Evvv	Fcvv	EvvvFcvv	6	7	2	1	7.15	7.26	8.48	0	0	163	1	0	0.25	9.35	0.25	10.15	0	1.27	0												
7.84	0.50	1	Bccc	Gggg	B3ccc	6	7	2	1	7.67	5.12	8.34	0	0	-175.2	0	0	0	2.89	0.25	7.34	0.25	6.75	0.125	7.47	0										
7.87	0.75	7	Dccc	Eccc	DcccEccc	6	7	2	1	8	9.2	8.61	0	0	0	0	0	0.25	10.87	0.25	10.50	0.125	11.17	0	0.26	0	0.26	0.125								
7.88	0.50	8	Bcvc	Gggg	Bcvc	6	7	2	1	8.125	5.57	8.37	0	0	-5.7	0	0	0	1.45	0.25	5.12	0.25	7.62	0												
7.88	0.27	6	Dccc	Gggg	D1ccc	6	7	2	1	8.21	2.26	8.15	0	0	0	0	0	0	0.83	0.125	1.25	0.25	3.98	0.25	4.09	0.125	3.23	0								
7.94	0.19	3	Accc	Dccc	A2cccD1ccc	6	7	2	1	9.14	2.04	8.14	0	0	0	0	0	0.25	2.91	0.25	2.67	0	0.63	0	0.51	0.125										
7.97	0.49	5	Cvvv	Gggg	Cvvv	6	7	2	1	9.6	6.97	8.46	0	0	-175.7	0	0	0	1.56	0.25	7.39	0.25	3.98	0												
8.14	0.53	3	Cccv	Dvvc	CccvDvvc	7	7	1	1	2.06	10	8.67	0	0	0	0	0	0.25	7.56	0.25	7.94	0	1.98	0												
8.20	0.22	4	Cvvv	Gggg	Cvvv	7	7	1	1	3.06	6.32	8.42	0	1	168.4	2	0	0.25	3.25	0.25	3.25	0	1.25	0												
8.37	0.90	6	Bcvv	Gggg	Bcvv	7	7	1	2	5.54	9.01	9.27	0	0	-171.3	1	0	0.25	13.52	0.25	11.73	0	1.22	0	0.36	0.125										
8.38	0.54	1	Fcvv	Gggg	Fcvv	7	7	1	2	5.66	3.76	8.92	1	0	-4.16	0	0	0	0	0.25	5.12	0.25	8.24	0												
8.43	0.05	4	Ccvc	Fcvc	CcvcFcvc	7	7	1	1	6.50	7.26	8.48	1	0	-45	1	0	0	0	0.25	0.45	0.25	0.76	0												
8.49	0.26	2	Fcvv	Gggg	Fcvv	7	7	1	2	7.36	1.25	8.75	1	0	126.2	0	0	0	0	0.25	3.65	0.25	3.89	0												
8.53	0.29	5	Cvvv	Gggg	Cvvv	7	7	1	2	7.90	2.26	8.82	1	0	0	0	0	0	0	0.25	4.34	0.25	4.26	0.125	3.61	0										
8.57	0.07	8	Ccvc	Gggg	Ccvc	7	7	1	1	8.52	9.59	8.64	0	0	0	0	0	0	0.85	0.25	0.93	0.25	1.07	0												
8.68	0.29	3	Cvvv	Dvvv	CDvvv	7	7	2	2	0.13	4.53	8.97	0	0	0	0	0	0	0.78	0.125	0.125	0.25	4.46	0.25	3.98	0.125	3.89	0								
8.70	0.50	4	Cvcv	Gggg	Cvcv	7	7	2	2	0.52	8.01	9.20	1	0	4.39	1	0	0	0	0.25	7.50	0.25	4.02	0												
